account_id,true_segment,bad_flag,declared_monthly_income,has_loan,loan_installment,essential_ratio_base,discretionary_ratio_base,initial_balance
AC100106,bad_detectable,1,910.42,True,223.37,0.417,0.209,1650.25
AC100107,bad_detectable,1,275.66,True,55.71,0.448,0.193,441.63
AC100108,good_quiet,0,480.91,False,0.0,0.457,0.154,276.13
AC100109,good_quiet,0,434.74,True,89.56,0.413,0.264,756.41
AC100110,good_quiet,0,497.84,True,103.09,0.428,0.197,670.17
AC100111,good_quiet,0,491.22,True,88.47,0.382,0.284,721.82
AC100112,good_quiet,0,805.54,False,0.0,0.42,0.221,1533.19
AC100113,good_false_alarm,0,845.15,True,201.63,0.379,0.252,693.99
AC100114,bad_shock,1,409.15,True,80.85,0.37,0.279,401.21
AC100115,good_quiet,0,506.57,True,109.28,0.39,0.242,409.35
AC100116,good_quiet,0,609.04,False,0.0,0.365,0.166,409.88
AC100117,good_quiet,0,295.76,True,78.45,0.463,0.273,381.26
AC100118,bad_detectable,1,854.8,True,188.16,0.399,0.292,1167.05
AC100119,good_quiet,0,536.27,False,0.0,0.425,0.224,1049.11
AC100120,bad_detectable,1,669.98,True,159.77,0.369,0.198,529.16
AC100121,good_quiet,0,1016.29,True,219.38,0.411,0.215,1473.34
AC100122,good_quiet,0,562.69,False,0.0,0.409,0.199,662.04
AC100123,good_quiet,0,1105.28,True,271.76,0.433,0.198,1125.83
AC100124,good_quiet,0,641.29,True,126.08,0.458,0.208,527.02
AC100125,good_quiet,0,555.83,False,0.0,0.389,0.274,1051.22
AC100126,bad_detectable,1,816.12,True,151.19,0.492,0.209,1539.08
AC100127,good_quiet,0,655.34,True,162.55,0.434,0.154,1058.49
AC100128,bad_detectable,1,304.07,True,68.89,0.351,0.268,302.88
AC100129,good_quiet,0,1310.55,True,271.33,0.374,0.266,1631.48
AC100130,bad_detectable,1,711.34,False,0.0,0.495,0.278,555.85
AC100131,good_quiet,0,662.28,True,125.91,0.472,0.222,891.82
AC100132,bad_detectable,1,272.8,True,60.7,0.405,0.213,184.85
AC100133,good_quiet,0,513.21,True,107.97,0.481,0.154,657.26
AC100134,bad_detectable,1,386.53,True,75.89,0.45,0.207,551.99
AC100135,good_quiet,0,911.95,True,183.7,0.371,0.178,926.73
AC100136,good_quiet,0,446.22,False,0.0,0.411,0.271,875.31
AC100137,good_quiet,0,765.83,True,204.59,0.445,0.214,878.12
AC100138,bad_detectable,1,757.95,True,211.74,0.494,0.156,1181.42
AC100139,good_quiet,0,625.64,True,171.17,0.476,0.168,368.96
AC100140,good_quiet,0,1269.66,True,296.45,0.487,0.235,1391.36
AC100141,good_quiet,0,569.49,True,157.68,0.397,0.178,529.1
AC100142,bad_detectable,1,438.13,True,116.86,0.456,0.275,860.43
AC100143,good_quiet,0,370.6,True,96.2,0.432,0.232,685.01
AC100144,good_quiet,0,1088.7,False,0.0,0.422,0.218,1175.26
AC100145,bad_shock,1,352.04,True,66.53,0.362,0.267,411.57
AC100146,good_quiet,0,513.78,True,94.29,0.374,0.181,1008.87
AC100147,bad_detectable,1,802.64,True,219.62,0.497,0.185,460.45
AC100148,good_quiet,0,547.24,True,129.62,0.487,0.231,787.47
AC100149,good_quiet,0,777.9,False,0.0,0.443,0.28,1496.1
AC100150,good_quiet,0,1049.15,True,212.55,0.416,0.292,1119.94
AC100151,good_quiet,0,602.41,True,119.45,0.398,0.248,909.21
AC100152,good_quiet,0,867.42,True,218.75,0.375,0.291,678.2
AC100153,good_quiet,0,479.67,True,111.26,0.426,0.216,955.62
AC100154,good_quiet,0,420.07,True,93.33,0.36,0.239,353.68
AC100155,good_quiet,0,618.05,True,171.9,0.42,0.285,749.9
AC100156,good_quiet,0,580.0,False,0.0,0.447,0.267,662.51
AC100157,bad_detectable,1,624.53,False,0.0,0.445,0.202,932.92
AC100158,bad_detectable,1,504.39,True,112.23,0.472,0.226,809.48
AC100159,good_quiet,0,394.44,False,0.0,0.37,0.18,568.09
AC100160,good_quiet,0,294.66,False,0.0,0.391,0.167,569.9
AC100161,good_quiet,0,566.93,True,118.56,0.429,0.282,930.23
AC100162,bad_detectable,1,853.32,True,184.12,0.422,0.172,776.65
AC100163,bad_detectable,1,644.86,True,161.54,0.36,0.222,1079.05
AC100164,good_quiet,0,833.94,True,218.54,0.386,0.204,637.58
AC100165,bad_detectable,1,603.57,True,123.18,0.463,0.197,548.77
AC100166,bad_shock,1,787.46,True,170.82,0.385,0.264,1492.25
AC100167,bad_shock,1,1028.83,True,274.41,0.5,0.242,1887.57
AC100168,good_quiet,0,608.52,False,0.0,0.419,0.162,318.69
AC100169,good_quiet,0,307.92,True,67.97,0.435,0.233,540.37
AC100170,good_quiet,0,1312.96,True,340.45,0.477,0.299,2375.62
AC100171,bad_detectable,1,593.27,True,130.62,0.39,0.241,1132.09
AC100172,good_quiet,0,490.7,True,96.66,0.379,0.159,944.08
AC100173,bad_detectable,1,571.95,False,0.0,0.452,0.179,436.51
AC100174,good_quiet,0,617.66,False,0.0,0.371,0.252,1063.43
AC100175,bad_detectable,1,467.73,True,129.31,0.39,0.214,537.32
AC100176,good_quiet,0,601.84,False,0.0,0.407,0.275,493.28
AC100177,good_quiet,0,656.73,True,183.5,0.356,0.181,839.54
AC100178,bad_detectable,1,788.04,True,172.99,0.462,0.206,617.23
AC100179,bad_shock,1,554.21,True,147.52,0.446,0.254,1094.27
AC100180,good_quiet,0,761.55,True,207.4,0.387,0.259,1242.75
AC100181,good_quiet,0,966.24,True,193.3,0.378,0.22,902.61
AC100182,good_quiet,0,695.98,False,0.0,0.47,0.19,634.17
AC100183,good_quiet,0,640.39,True,175.71,0.41,0.184,1133.49
AC100184,bad_detectable,1,728.06,True,142.84,0.446,0.267,594.39
AC100185,good_quiet,0,966.03,False,0.0,0.384,0.158,1739.94
AC100186,bad_detectable,1,424.12,True,108.57,0.369,0.267,809.12
AC100187,good_quiet,0,913.98,False,0.0,0.429,0.262,1581.88
AC100188,bad_detectable,1,279.23,True,56.92,0.425,0.226,383.65
AC100189,good_quiet,0,509.8,False,0.0,0.387,0.26,773.35
AC100190,good_quiet,0,598.37,True,155.29,0.494,0.258,1123.02
AC100191,bad_shock,1,1498.78,True,365.44,0.421,0.298,960.28
AC100192,good_quiet,0,703.0,False,0.0,0.393,0.268,755.15
AC100193,good_quiet,0,371.54,False,0.0,0.395,0.266,373.5
AC100194,bad_detectable,1,918.7,True,241.58,0.354,0.183,1440.41
AC100195,good_quiet,0,999.16,True,214.65,0.48,0.155,1093.74
AC100196,good_quiet,0,882.31,True,224.96,0.389,0.28,1428.55
AC100197,bad_detectable,1,691.89,True,161.3,0.467,0.187,585.42
AC100198,good_quiet,0,437.99,False,0.0,0.445,0.262,568.25
AC100199,good_quiet,0,1265.21,True,308.77,0.38,0.283,2173.15
AC100200,good_quiet,0,293.09,True,56.89,0.496,0.285,551.84
AC100201,bad_detectable,1,540.25,True,108.69,0.364,0.168,327.91
AC100202,good_quiet,0,964.44,True,253.38,0.437,0.266,1394.93
AC100203,bad_detectable,1,629.65,True,146.21,0.457,0.217,641.68
AC100204,good_quiet,0,608.28,False,0.0,0.389,0.173,528.91
AC100205,bad_detectable,1,776.1,True,192.94,0.478,0.162,1278.65
AC100206,good_quiet,0,888.44,True,240.75,0.394,0.235,830.47
AC100207,good_quiet,0,810.01,True,195.24,0.444,0.17,1247.67
AC100208,good_quiet,0,495.13,True,92.79,0.417,0.211,311.96
AC100209,good_quiet,0,872.81,True,221.95,0.386,0.274,1150.97
AC100210,good_quiet,0,666.59,True,153.26,0.443,0.289,825.05
AC100211,good_quiet,0,699.74,True,177.56,0.361,0.227,855.35
AC100212,bad_detectable,1,460.71,True,104.5,0.494,0.218,355.36
AC100213,bad_detectable,1,363.78,True,81.19,0.465,0.26,199.43
AC100214,good_quiet,0,617.17,False,0.0,0.375,0.244,610.6
AC100215,bad_detectable,1,584.3,True,149.56,0.385,0.286,730.56
AC100216,good_quiet,0,909.8,False,0.0,0.384,0.193,796.67
AC100217,good_quiet,0,689.89,True,192.72,0.499,0.229,1006.23
AC100218,good_quiet,0,310.84,False,0.0,0.381,0.229,543.74
AC100219,bad_detectable,1,822.87,True,229.22,0.498,0.286,1396.97
AC100220,bad_detectable,1,439.62,True,103.78,0.426,0.246,489.07
AC100221,good_quiet,0,474.25,True,91.4,0.378,0.278,554.6
AC100222,good_false_alarm,0,318.55,False,0.0,0.433,0.153,310.44
AC100223,good_quiet,0,704.8,True,131.44,0.358,0.237,375.37
AC100224,good_quiet,0,936.62,True,225.4,0.417,0.216,569.18
AC100225,good_quiet,0,930.21,False,0.0,0.352,0.177,1726.33
AC100226,good_quiet,0,570.89,True,114.34,0.449,0.259,798.76
AC100227,bad_detectable,1,447.83,True,94.06,0.422,0.204,374.66
AC100228,good_quiet,0,1069.25,False,0.0,0.353,0.216,1567.53
AC100229,good_quiet,0,447.97,False,0.0,0.472,0.257,293.06
AC100230,good_quiet,0,494.16,True,101.08,0.356,0.184,584.27
AC100231,good_quiet,0,761.68,True,199.9,0.489,0.18,1442.9
AC100232,bad_detectable,1,621.08,False,0.0,0.493,0.152,1021.39
AC100233,bad_detectable,1,757.01,False,0.0,0.433,0.162,1343.46
AC100234,good_quiet,0,250.0,True,59.3,0.373,0.261,153.13
AC100235,good_quiet,0,931.12,False,0.0,0.421,0.226,901.62
AC100236,good_quiet,0,530.0,False,0.0,0.405,0.176,439.57
AC100237,good_quiet,0,564.37,False,0.0,0.46,0.182,1009.86
AC100238,good_quiet,0,642.47,False,0.0,0.386,0.243,1214.27
AC100239,good_quiet,0,671.94,True,187.29,0.373,0.163,1015.49
AC100240,good_quiet,0,472.85,True,107.59,0.463,0.193,474.07
AC100241,good_quiet,0,517.02,True,136.64,0.417,0.293,763.22
AC100242,good_quiet,0,529.46,False,0.0,0.423,0.171,385.99
AC100243,good_quiet,0,502.67,True,104.89,0.371,0.216,563.76
AC100244,good_quiet,0,598.5,True,109.65,0.442,0.206,883.99
AC100245,good_quiet,0,335.08,True,68.63,0.418,0.209,574.81
AC100246,bad_detectable,1,657.1,True,157.28,0.353,0.227,668.43
AC100247,good_quiet,0,403.79,False,0.0,0.491,0.153,566.13
AC100248,good_quiet,0,670.3,True,173.44,0.445,0.289,1321.5
AC100249,good_quiet,0,554.9,True,130.23,0.372,0.2,1099.52
AC100250,good_quiet,0,628.92,True,166.2,0.399,0.222,1237.13
AC100251,good_false_alarm,0,818.56,True,151.58,0.492,0.19,1028.19
AC100252,good_quiet,0,796.81,False,0.0,0.425,0.296,707.77
AC100253,good_quiet,0,634.31,False,0.0,0.417,0.192,1131.12
AC100254,good_quiet,0,698.45,True,193.93,0.378,0.195,381.78
AC100255,good_quiet,0,676.4,True,167.75,0.377,0.251,605.52
AC100256,good_quiet,0,897.75,True,225.94,0.42,0.204,1597.05
AC100257,good_quiet,0,819.04,True,221.15,0.401,0.156,1017.16
AC100258,good_quiet,0,975.16,True,248.38,0.37,0.271,1858.04
AC100259,bad_shock,1,344.95,False,0.0,0.457,0.299,349.19
AC100260,bad_detectable,1,715.14,True,166.86,0.377,0.242,372.72
AC100261,good_quiet,0,606.9,True,115.81,0.386,0.191,333.32
AC100262,good_quiet,0,531.76,True,115.85,0.408,0.201,527.45
AC100263,bad_detectable,1,749.58,True,150.07,0.463,0.299,1418.8
AC100264,good_false_alarm,0,551.8,True,142.03,0.465,0.277,1017.1
AC100265,good_quiet,0,671.88,False,0.0,0.396,0.289,431.02
AC100266,good_quiet,0,1115.65,False,0.0,0.364,0.248,615.02
AC100267,good_quiet,0,589.39,False,0.0,0.44,0.279,381.23
AC100268,good_quiet,0,699.91,True,128.96,0.417,0.19,762.28
AC100269,good_quiet,0,593.63,False,0.0,0.391,0.284,676.11
AC100270,good_false_alarm,0,789.4,True,175.07,0.389,0.225,574.45
AC100271,good_quiet,0,541.13,True,141.99,0.389,0.295,907.51
AC100272,good_quiet,0,728.07,False,0.0,0.371,0.229,549.67
AC100273,good_quiet,0,726.8,True,149.97,0.489,0.167,978.13
AC100274,good_quiet,0,505.3,True,121.16,0.472,0.16,640.91
AC100275,good_quiet,0,635.71,True,121.97,0.491,0.284,495.19
AC100276,bad_shock,1,730.23,True,183.88,0.416,0.173,479.2
AC100277,good_quiet,0,1024.93,True,279.02,0.363,0.167,1941.67
AC100278,good_quiet,0,501.97,True,108.18,0.418,0.212,394.08
AC100279,good_quiet,0,730.87,True,183.1,0.36,0.156,1082.12
AC100280,good_quiet,0,1365.63,True,258.65,0.492,0.262,2477.8
AC100281,good_quiet,0,622.87,True,135.06,0.431,0.195,368.08
AC100282,bad_detectable,1,458.18,True,100.16,0.38,0.189,659.98
AC100283,bad_detectable,1,488.96,True,125.75,0.407,0.238,953.14
AC100284,good_false_alarm,0,554.08,False,0.0,0.359,0.214,857.43
AC100285,bad_detectable,1,1021.54,True,241.29,0.369,0.263,1288.68
AC100286,good_quiet,0,386.46,True,93.23,0.463,0.276,697.01
AC100287,bad_shock,1,705.55,True,142.26,0.479,0.247,797.51
AC100288,good_quiet,0,445.78,True,111.61,0.381,0.164,816.69
AC100289,bad_detectable,1,629.8,True,131.77,0.496,0.256,891.66
AC100290,good_quiet,0,772.23,True,195.26,0.356,0.151,1231.11
AC100291,bad_detectable,1,452.22,False,0.0,0.421,0.223,521.95
AC100292,good_quiet,0,730.09,True,175.09,0.485,0.299,451.28
AC100293,good_quiet,0,682.21,True,146.82,0.393,0.176,1123.0
AC100294,good_false_alarm,0,340.62,False,0.0,0.355,0.16,376.35
AC100295,bad_detectable,1,679.51,False,0.0,0.381,0.18,924.45
AC100296,good_quiet,0,1001.55,True,263.08,0.371,0.214,1537.03
AC100297,good_quiet,0,829.72,True,196.46,0.36,0.176,500.91
AC100298,good_quiet,0,990.21,True,249.9,0.36,0.279,1736.13
AC100299,bad_detectable,1,544.24,True,101.03,0.478,0.185,719.7
AC100300,good_quiet,0,546.94,True,125.83,0.498,0.173,954.99
AC100301,good_quiet,0,716.74,True,192.54,0.45,0.253,641.46
AC100302,good_quiet,0,748.98,True,173.87,0.419,0.199,717.69
AC100303,good_false_alarm,0,652.67,True,127.27,0.481,0.24,457.31
AC100304,good_quiet,0,474.01,True,92.46,0.351,0.157,778.98
AC100305,good_quiet,0,1712.27,True,436.3,0.361,0.239,2798.04
AC100306,good_quiet,0,316.65,True,75.84,0.499,0.189,248.33
AC100307,good_quiet,0,1099.58,True,263.51,0.469,0.263,2021.92
AC100308,good_quiet,0,429.3,True,101.14,0.395,0.199,814.78
AC100309,bad_shock,1,1126.05,False,0.0,0.413,0.231,1385.8
AC100310,good_quiet,0,1091.17,True,253.99,0.36,0.29,748.29
AC100311,good_quiet,0,597.96,False,0.0,0.365,0.285,949.89
AC100312,good_quiet,0,775.52,True,188.58,0.464,0.274,1223.4
AC100313,good_quiet,0,380.11,True,94.92,0.494,0.238,568.85
AC100314,good_quiet,0,963.0,False,0.0,0.5,0.174,773.88
AC100315,good_quiet,0,724.19,True,171.75,0.357,0.211,995.37
AC100316,good_quiet,0,798.73,True,201.3,0.446,0.269,1147.88
AC100317,good_quiet,0,795.18,True,151.18,0.391,0.229,1438.86
AC100318,good_quiet,0,538.87,True,128.91,0.383,0.26,938.26
AC100319,good_quiet,0,1045.07,True,223.5,0.417,0.28,1656.42
AC100320,good_quiet,0,589.17,True,109.02,0.371,0.179,624.57
AC100321,bad_detectable,1,531.17,True,108.08,0.366,0.201,915.52
AC100322,good_false_alarm,0,597.08,False,0.0,0.367,0.241,1157.53
AC100323,good_quiet,0,920.95,False,0.0,0.483,0.228,1223.38
AC100324,good_quiet,0,842.07,False,0.0,0.425,0.155,1283.76
AC100325,bad_detectable,1,850.74,False,0.0,0.392,0.158,1625.37
AC100326,bad_detectable,1,563.0,True,127.39,0.413,0.168,363.21
AC100327,good_quiet,0,410.49,True,83.19,0.432,0.182,305.74
AC100328,good_quiet,0,1032.61,True,250.53,0.487,0.173,1931.14
AC100329,good_quiet,0,797.46,False,0.0,0.445,0.243,1163.35
AC100330,good_quiet,0,848.72,True,234.08,0.438,0.267,904.67
AC100331,good_quiet,0,627.58,True,144.79,0.416,0.201,548.97
AC100332,good_false_alarm,0,704.44,True,195.12,0.376,0.198,662.84
AC100333,good_quiet,0,1409.09,True,387.5,0.393,0.254,757.47
AC100334,good_quiet,0,709.17,True,129.85,0.443,0.252,1148.92
AC100335,bad_detectable,1,736.97,True,161.84,0.356,0.165,1092.56
AC100336,bad_detectable,1,678.77,True,173.15,0.474,0.232,970.55
AC100337,good_quiet,0,1212.91,True,330.66,0.354,0.275,746.07
AC100338,good_quiet,0,825.35,True,185.31,0.4,0.175,971.14
AC100339,bad_detectable,1,785.83,False,0.0,0.484,0.248,539.56
AC100340,good_quiet,0,480.15,True,105.96,0.491,0.293,536.24
AC100341,good_quiet,0,581.02,True,148.36,0.355,0.172,825.8
AC100342,good_false_alarm,0,354.15,True,76.19,0.483,0.273,438.89
AC100343,good_false_alarm,0,569.04,True,113.67,0.479,0.273,1054.57
AC100344,good_quiet,0,1034.66,True,282.65,0.436,0.213,1387.02
AC100345,good_quiet,0,345.02,True,70.43,0.362,0.224,631.96
AC100346,good_quiet,0,633.55,True,141.19,0.42,0.181,1098.84
AC100347,good_false_alarm,0,459.48,False,0.0,0.464,0.236,824.48
AC100348,bad_detectable,1,669.09,False,0.0,0.47,0.25,1183.97
AC100349,good_quiet,0,766.18,False,0.0,0.462,0.218,1448.4
AC100350,bad_detectable,1,718.66,True,136.97,0.384,0.276,786.81
AC100351,bad_detectable,1,982.01,True,255.9,0.484,0.161,1337.73
AC100352,good_quiet,0,867.2,True,190.67,0.421,0.237,1085.28
AC100353,bad_detectable,1,900.19,False,0.0,0.462,0.201,1531.1
AC100354,good_quiet,0,699.93,True,145.96,0.461,0.186,1054.87
AC100355,good_quiet,0,640.42,True,176.03,0.407,0.281,1268.29
AC100356,good_quiet,0,991.85,True,217.54,0.481,0.253,1288.52
AC100357,good_quiet,0,630.31,False,0.0,0.456,0.22,1158.96
AC100358,good_quiet,0,1154.12,True,281.93,0.496,0.187,1009.29
AC100359,good_quiet,0,688.04,False,0.0,0.384,0.225,1366.67
AC100360,bad_detectable,1,713.96,True,165.09,0.471,0.203,796.43
AC100361,bad_detectable,1,394.21,False,0.0,0.37,0.209,725.1
AC100362,good_quiet,0,516.7,True,110.27,0.391,0.219,399.04
AC100363,good_quiet,0,738.7,False,0.0,0.436,0.164,1305.0
AC100364,good_quiet,0,1000.72,False,0.0,0.404,0.267,809.99
AC100365,good_quiet,0,682.92,True,125.18,0.384,0.259,1199.26
AC100366,good_quiet,0,452.94,False,0.0,0.47,0.28,700.99
AC100367,good_quiet,0,773.03,True,189.61,0.488,0.165,752.66
AC100368,bad_detectable,1,870.75,False,0.0,0.417,0.251,1533.98
AC100369,good_quiet,0,722.53,False,0.0,0.483,0.157,1178.55
AC100370,good_quiet,0,436.11,True,100.92,0.389,0.17,294.56
AC100371,bad_shock,1,444.46,True,95.62,0.382,0.254,680.15
AC100372,good_quiet,0,570.91,False,0.0,0.408,0.275,349.8
AC100373,good_quiet,0,431.65,False,0.0,0.477,0.237,621.64
AC100374,good_quiet,0,564.53,True,145.11,0.5,0.224,334.18
AC100375,good_quiet,0,815.35,True,166.72,0.399,0.26,632.48
AC100376,bad_shock,1,551.43,True,147.41,0.454,0.156,299.12
AC100377,bad_detectable,1,368.82,True,88.4,0.415,0.288,343.63
AC100378,good_quiet,0,881.98,False,0.0,0.497,0.261,1056.45
AC100379,bad_detectable,1,537.68,False,0.0,0.46,0.183,632.76
AC100380,good_quiet,0,912.03,True,222.82,0.447,0.191,964.54
AC100381,good_quiet,0,789.61,False,0.0,0.415,0.216,685.41
AC100382,good_quiet,0,515.74,True,104.83,0.36,0.265,549.11
AC100383,good_quiet,0,637.29,True,166.65,0.398,0.264,1216.78
AC100384,good_quiet,0,542.54,True,138.23,0.419,0.212,698.76
AC100385,good_quiet,0,794.45,True,175.96,0.369,0.212,1060.91
AC100386,bad_detectable,1,481.8,True,116.67,0.419,0.153,421.25
AC100387,good_quiet,0,520.59,True,114.6,0.429,0.15,386.69
